date_key,Avg Prev 2M,Avg Prev 1M,Avg Current M,Forecast Step 3
31 Mar 2025,121328.74181845404,127009.17793675096,135786.41885408154,95439.47250834508
30 Mar 2025,121328.7418184535,127009.17793675,135786.4188540823,193408.50070499443
29 Mar 2025,121328.74181845428,127009.17793675073,135786.41885408136,178707.50472370556
28 Mar 2025,121328.74181845583,127009.17793675027,135786.41885408206,153167.30490958993
27 Mar 2025,121328.74181845385,127009.17793674924,135786.41885408206,157578.58378272405
26 Mar 2025,121328.74181845348,127009.17793675017,135786.41885408142,152761.61295400903
25 Mar 2025,121328.74181845514,127009.17793675163,135786.41885408148,158239.82524086616
24 Mar 2025,121328.7418184552,127009.17793675103,135786.4188540827,163025.54023116943
23 Mar 2025,121328.7418184561,127009.17793675145,135786.41885408165,180117.1906879968
22 Mar 2025,121328.7418184556,127009.17793675145,135786.4188540824,166977.7149537737
21 Mar 2025,121328.741818454,127009.17793675054,135786.4188540817,149468.14276336797
20 Mar 2025,121328.74181845557,127009.17793675166,135786.4188540824,164936.40182408836
19 Mar 2025,121328.74181845634,127009.17793674959,135786.418854082,159658.12826253913
18 Mar 2025,121328.74181845589,127009.17793675055,135786.418854082,164721.20263064752
17 Mar 2025,121328.74181845412,127009.17793675,135786.41885408096,175214.1943465398
16 Mar 2025,121328.74181845409,127009.17793675009,135786.41885408195,180202.63715525705
15 Mar 2025,121328.7418184542,127009.17793675087,135786.41885408136,168440.48535042343
14 Mar 2025,121328.7418184562,127009.17793675017,135786.41885408136,153344.10069489758
13 Mar 2025,121328.74181845345,127009.17793675027,135786.41885408224,154270.30009847623
12 Mar 2025,121328.74181845496,127009.17793674945,135786.41885408142,150989.50211626716
11 Mar 2025,121328.74181845631,127009.17793675073,135786.418854082,155614.18025053866
10 Mar 2025,121328.74181845397,127009.17793674921,135786.41885408154,164077.06557305553
9 Mar 2025,121328.74181845436,127009.1779367496,135786.41885408157,184260.4942581741
8 Mar 2025,121328.74181845432,127009.17793675067,135786.41885408148,170601.85347908194
