vendor_id,primary_vendor_name,warehouse,location_id,order_day,inbound_day
609,4FishEat Ikan Bioflok,PGS - Pegangsaan,160,Mon,Wed
609,4FishEat Ikan Bioflok,PGS - Pegangsaan,160,Mon,Sat
609,4FishEat Ikan Bioflok,SRG - Srengseng,796,Mon,Tue
338,Acaii Tea,PGS - Pegangsaan,160,Mon,Sat
338,Acaii Tea,PGS - Pegangsaan,160,Mon,Thu
338,Acaii Tea,SRG - Srengseng,796,Mon,Fri
1680,AGATHA PUTRI GRACIA ULIANA PURBA,PGS - Pegangsaan,160,Mon,Fri
1680,AGATHA PUTRI GRACIA ULIANA PURBA,PGS - Pegangsaan,160,Mon,Tue
1680,AGATHA PUTRI GRACIA ULIANA PURBA,SRG - Srengseng,796,Mon,Wed
1680,AGATHA PUTRI GRACIA ULIANA PURBA,SRG - Srengseng,796,Mon,Mon
4927,ALIBANU,PGS - Pegangsaan,160,Mon,Wed
4927,ALIBANU,PGS - Pegangsaan,160,Mon,Sat
4927,ALIBANU,SRG - Srengseng,796,Mon,Mon
4927,ALIBANU,SRG - Srengseng,796,Mon,Fri
4180,ASTRO INDOKARYA SEMESTA,PGS - Pegangsaan,160,Mon,Wed
4180,ASTRO INDOKARYA SEMESTA,PGS - Pegangsaan,160,Mon,Tue
4180,ASTRO INDOKARYA SEMESTA,SRG - Srengseng,796,Mon,Mon
4180,ASTRO INDOKARYA SEMESTA,SRG - Srengseng,796,Mon,Fri
4019,BAKERINDO SUKSES MAKMUR PT,PGS - Pegangsaan,160,Mon,Tue
95,Bakso Warisan Ibu,PGS - Pegangsaan,160,Mon,Wed
95,Bakso Warisan Ibu,SRG - Srengseng,796,Mon,Sat
207,BELFOODS INDONESIA PT,PGS - Pegangsaan,160,Mon,Wed
207,BELFOODS INDONESIA PT,PGS - Pegangsaan,160,Mon,Tue
207,BELFOODS INDONESIA PT,SRG - Srengseng,796,Mon,Mon
207,BELFOODS INDONESIA PT,SRG - Srengseng,796,Mon,Fri
1783,Bon Cafe (PT. Bon Café Indonesia),PGS - Pegangsaan,160,Mon,Tue
121,Cedea,PGS - Pegangsaan,160,Mon,Wed
121,Cedea,PGS - Pegangsaan,160,Mon,Thu
121,Cedea,SRG - Srengseng,796,Mon,Fri
4760,CEMERLANG MAKMUR ABADI,PGS - Pegangsaan,160,Mon,Tue
4760,CEMERLANG MAKMUR ABADI,PGS - Pegangsaan,160,Mon,Sat
4760,CEMERLANG MAKMUR ABADI,SRG - Srengseng,796,Mon,Fri
4760,CEMERLANG MAKMUR ABADI,SRG - Srengseng,796,Mon,Mon
395,CV Aneka Semesta Nutrisindo,PGS - Pegangsaan,160,Mon,Thu
1929,CV AUSTRALINDO MAKMUR BERSAMA,PGS - Pegangsaan,160,Mon,Wed
1929,CV AUSTRALINDO MAKMUR BERSAMA,PGS - Pegangsaan,160,Mon,Tue
1929,CV AUSTRALINDO MAKMUR BERSAMA,SRG - Srengseng,796,Mon,Fri
1030,CV Brasil Makmur Sentosa,PGS - Pegangsaan,160,Mon,Wed
1030,CV Brasil Makmur Sentosa,PGS - Pegangsaan,160,Mon,Thu
1030,CV Brasil Makmur Sentosa,SRG - Srengseng,796,Mon,Mon
4661,CV DIANKA OLEH ANUGERAH,PGS - Pegangsaan,160,Mon,Tue
4661,CV DIANKA OLEH ANUGERAH,SRG - Srengseng,796,Mon,Thu
4223,CV. CM PORK JAKUT,PGS - Pegangsaan,160,Mon,Sat
4223,CV. CM PORK JAKUT,PGS - Pegangsaan,160,Mon,Thu
4223,CV. CM PORK JAKUT,SRG - Srengseng,796,Mon,Fri
200,ELIANA FROZEN FOOD,PGS - Pegangsaan,160,Mon,Tue
200,ELIANA FROZEN FOOD,PGS - Pegangsaan,160,Mon,Sat
200,ELIANA FROZEN FOOD,SRG - Srengseng,796,Mon,Thu
200,ELIANA FROZEN FOOD,SRG - Srengseng,796,Mon,Mon
193,GARUDA TIMUR PACIFIC PT (DIST PRCHIZ),PGS - Pegangsaan,160,Mon,Wed
193,GARUDA TIMUR PACIFIC PT (DIST PRCHIZ),PGS - Pegangsaan,160,Mon,Sat
193,GARUDA TIMUR PACIFIC PT (DIST PRCHIZ),SRG - Srengseng,796,Mon,Mon
1198,Hairul Latif Bioflok,PGS - Pegangsaan,160,Mon,Wed
1198,Hairul Latif Bioflok,PGS - Pegangsaan,160,Mon,Tue
1198,Hairul Latif Bioflok,SRG - Srengseng,796,Mon,Fri
1198,Hairul Latif Bioflok,SRG - Srengseng,796,Mon,Mon
52,Healthy Grocery,PGS - Pegangsaan,160,Mon,Sat
52,Healthy Grocery,SRG - Srengseng,796,Mon,Thu
74,Heavenly Blush,SRG - Srengseng,160,Mon,Fri
74,Heavenly Blush,PGS - Pegangsaan,160,Mon,Thu
573,Heirloom Greek Yogurt,PGS - Consumables/Asset WH Pegangsaan,160,Mon,Wed
573,Heirloom Greek Yogurt,PGS - Pegangsaan,160,Mon,Tue
573,Heirloom Greek Yogurt,SRG - Srengseng,796,Mon,Sat
573,Heirloom Greek Yogurt,SRG - Srengseng,796,Mon,Mon
1809,Hosia Mulia Perkasa PT,PGS - Pegangsaan,160,Mon,Wed
1809,Hosia Mulia Perkasa PT,PGS - Pegangsaan,160,Mon,Tue
1809,Hosia Mulia Perkasa PT,SRG - Srengseng,796,Mon,Thu
1809,Hosia Mulia Perkasa PT,SRG - Srengseng,796,Mon,Fri
189,JAVASEA,PGS - Pegangsaan,160,Mon,Wed
189,JAVASEA,PGS - Pegangsaan,160,Mon,Tue
189,JAVASEA,SRG - Srengseng,796,Mon,Thu
189,JAVASEA,SRG - Srengseng,796,Mon,Fri
1559,Kaya Bumbu Jakarta,PGS - Consumables/Asset WH Pegangsaan,160,Mon,Wed
1559,Kaya Bumbu Jakarta,PGS - Pegangsaan,160,Mon,Tue
1559,Kaya Bumbu Jakarta,SRG - Srengseng,796,Mon,Sat
1559,Kaya Bumbu Jakarta,SRG - Srengseng,796,Mon,Mon
4455,KEBUN SAYUR,PGS - Consumables/Asset WH Pegangsaan,160,Mon,Sat
4455,KEBUN SAYUR,PGS - Pegangsaan,160,Mon,Tue
4455,KEBUN SAYUR,SRG - Srengseng,796,Mon,Mon
1481,KIN Dog Food Jakarta Selatan,PGS - Pegangsaan,160,Mon,Tue
1481,KIN Dog Food Jakarta Selatan,SRG - Srengseng,796,Mon,Mon
1811,Kodaigiri,PGS - Pegangsaan,160,Mon,Wed
1811,Kodaigiri,PGS - Pegangsaan,160,Mon,Tue
1811,Kodaigiri,SRG - Srengseng,796,Mon,Thu
1811,Kodaigiri,SRG - Srengseng,796,Mon,Fri
648,Leo - Hyokuna,SRG - Srengseng,796,Mon,Mon
648,Leo - Hyokuna,PGS - Consumables/Asset WH Pegangsaan,160,Mon,Sat
922,Lilis Baby Fish,PGS - Pegangsaan,160,Mon,Tue
922,Lilis Baby Fish,SRG - Srengseng,796,Mon,Mon
4094,M SURYA,PGS - Pegangsaan,160,Mon,Wed
4094,M SURYA,PGS - Consumables/Asset WH Pegangsaan,160,Mon,Tue
4094,M SURYA,SRG - Srengseng,796,Mon,Sat
4094,M SURYA,SRG - Srengseng,796,Mon,Thu
4959,MAKU JAYA,PGS - Pegangsaan,160,Mon,Wed
4959,MAKU JAYA,PGS - Consumables/Asset WH Pegangsaan,160,Mon,Tue
4959,MAKU JAYA,SRG - Srengseng,796,Mon,Mon
93,Mondelez,PGS - Pegangsaan,160,Mon,Wed
93,Mondelez,PGS - Pegangsaan,160,Mon,Tue
93,Mondelez,SRG - Srengseng,796,Mon,Sat
530,PT Abadi Niaga Prima,PGS - Pegangsaan,160,Mon,Tue
873,PT ABC Kogen Dairy,PGS - Pegangsaan,160,Mon,Tue
3836,PT ABCD KOPI INDONESIA,SRG - Srengseng,796,Mon,Fri
3836,PT ABCD KOPI INDONESIA,PGS - Pegangsaan,160,Mon,Sat
368,PT Aladdin Sarana Indonesia,PGS - Pegangsaan,160,Mon,Tue
368,PT Aladdin Sarana Indonesia,PGS - Pegangsaan,160,Mon,Sat
368,PT Aladdin Sarana Indonesia,SRG - Srengseng,796,Mon,Mon
4123,PT ALIDICO TANGAN EMAS,PGS - Pegangsaan,160,Mon,Thu
605,PT Alton Inne Makmur,PGS - Pegangsaan,160,Mon,Tue
605,PT Alton Inne Makmur,PGS - Pegangsaan,160,Mon,Sat
605,PT Alton Inne Makmur,SRG - Srengseng,796,Mon,Thu
605,PT Alton Inne Makmur,SRG - Srengseng,796,Mon,Fri
120,PT Aroma Duta,PGS - Pegangsaan,160,Mon,Tue
120,PT Aroma Duta,PGS - Pegangsaan,160,Mon,Wed
120,PT Aroma Duta,SRG - Srengseng,796,Mon,Fri
4398,PT BEARYFRESH ABADI MAKMUR,PGS - Pegangsaan,160,Mon,Tue
1635,PT Benfood Ekamakmur Nusajaya,PGS - Pegangsaan,160,Mon,Wed
1635,PT Benfood Ekamakmur Nusajaya,PGS - Pegangsaan,160,Mon,Tue
1635,PT Benfood Ekamakmur Nusajaya,SRG - Srengseng,796,Mon,Thu
1635,PT Benfood Ekamakmur Nusajaya,SRG - Srengseng,796,Mon,Mon
1611,PT Berkah Global Business,PGS - Pegangsaan,160,Mon,Sat
1611,PT Berkah Global Business,PGS - Pegangsaan,160,Mon,Thu
510,PT Berkat Pangan Sejahtera Indonesia,PGS - Pegangsaan,160,Mon,Wed
510,PT Berkat Pangan Sejahtera Indonesia,PGS - Pegangsaan,160,Mon,Tue
510,PT Berkat Pangan Sejahtera Indonesia,SRG - Srengseng,796,Mon,Sat
510,PT Berkat Pangan Sejahtera Indonesia,SRG - Srengseng,796,Mon,Mon
4481,PT BIRU OASIS INDONESIA,PGS - Pegangsaan,160,Mon,Fri
4481,PT BIRU OASIS INDONESIA,PGS - Pegangsaan,160,Mon,Tue
4481,PT BIRU OASIS INDONESIA,SRG - Srengseng,796,Mon,Thu
4481,PT BIRU OASIS INDONESIA,SRG - Srengseng,796,Mon,Fri
4224,PT CENTRAL PERTIWI BAHARI,PGS - Pegangsaan,160,Mon,Fri
4224,PT CENTRAL PERTIWI BAHARI,SRG - Srengseng,796,Mon,Tue
1167,PT Charoen Pokphand Indonesia,PGS - Pegangsaan,160,Mon,Fri
1167,PT Charoen Pokphand Indonesia,PGS - Pegangsaan,160,Mon,Tue
1167,PT Charoen Pokphand Indonesia,SRG - Srengseng,796,Mon,Thu
