product_id,primary_vendor_name,qty_order
31635,CV AUSTRALINDO MAKMUR BERSAMA,12
31635,CV AUSTRALINDO MAKMUR BERSAMA,7
8147,Acaii Tea,0
3852,Acaii Tea,0
3852,Acaii Tea,229
3863,Acaii Tea,0
30737,Acaii Tea,26
30737,Acaii Tea,0
4267,Acaii Tea,0
4267,Acaii Tea,38
4093,Acaii Tea,21
30580,Acaii Tea,0
30580,Acaii Tea,18
30506,Acaii Tea,8
30506,Acaii Tea,0
30738,Acaii Tea,1
30738,Acaii Tea,16
4266,Acaii Tea,18
4266,Acaii Tea,0
3864,Acaii Tea,0
32064,Acaii Tea,16
32064,Acaii Tea,0
24231,BAKERINDO SUKSES MAKMUR PT,0
24231,BAKERINDO SUKSES MAKMUR PT,70
4061,KEBUN SAYUR,0
4060,KEBUN SAYUR,107
4060,KEBUN SAYUR,98
54,Astro Cash Purchase (Pasar),114
54,Astro Cash Purchase (Pasar),94
3728,PT. Del Mar Nabati Indonesia,0
3728,PT. Del Mar Nabati Indonesia,17
23605,PT. Del Mar Nabati Indonesia,0
23605,PT. Del Mar Nabati Indonesia,35
24825,PT. CIPTA RASA MULTINDO,24
24825,PT. CIPTA RASA MULTINDO,0
5933,PT. MCDELICA FOOD INDONESIA,0
5933,PT. MCDELICA FOOD INDONESIA,72
5932,PT. MCDELICA FOOD INDONESIA,48
5932,PT. MCDELICA FOOD INDONESIA,72
5935,PT. MCDELICA FOOD INDONESIA,60
5935,PT. MCDELICA FOOD INDONESIA,90
5934,PT. MCDELICA FOOD INDONESIA,30
5934,PT. MCDELICA FOOD INDONESIA,60
29801,PD ADANG'S,28
669,PT. PERINTIS CITRA FAJAR,14
669,PT. PERINTIS CITRA FAJAR,0
6361,Leo - Hyokuna,0
6361,Leo - Hyokuna,212
40879,PT HOM INVESTINDO JAYA,10
40879,PT HOM INVESTINDO JAYA,0
35314,PT HOM INVESTINDO JAYA,0
35314,PT HOM INVESTINDO JAYA,7
35312,PT HOM INVESTINDO JAYA,0
35312,PT HOM INVESTINDO JAYA,7
40876,PT HOM INVESTINDO JAYA,2
40876,PT HOM INVESTINDO JAYA,0
35313,PT HOM INVESTINDO JAYA,0
35313,PT HOM INVESTINDO JAYA,5
40880,PT HOM INVESTINDO JAYA,2
40880,PT HOM INVESTINDO JAYA,5
40877,PT HOM INVESTINDO JAYA,4
40877,PT HOM INVESTINDO JAYA,0
35315,PT HOM INVESTINDO JAYA,0
35315,PT HOM INVESTINDO JAYA,3
