Sum of Stock,Product ID
"3,319",2
32,7
14,11
"1,142",24
11,36
709,55
80,83
265,85
278,87
701,105
"1,594",109
"3,505",112
153,121
54,152
254,156
279,157
15,160
471,166
572,174
108,182
64,183
14,191
122,199
107,208
"1,631",210
51,214
"1,379",225
484,228
78,233
683,251
48,258
95,259
73,264
22,269
223,276
76,281
209,294
108,296
81,307
168,331
"2,777",340
22,356
78,364
341,392
888,400
454,418
373,427
496,434
374,435
214,447
233,454
154,462
88,463
22,471
"1,133",484
169,506
"2,088",507
145,510
51,520
619,525
707,528
48,533
43,547
36,561
120,569
8,570
263,574
56,578
531,580
24,584
67,593
140,606
214,609
166,610
329,615
"3,520",622
47,625
96,633
86,635
398,662
109,667
863,671
76,676
27,695
30,701
586,703
83,704
633,705
"1,195",709
311,710
120,713
34,714
351,719
101,724
78,742
40,757
337,765
149,771
62,773
8,782
154,785
57,788
1,792
14,793
6,807
18,811
602,813
"2,951",820
"1,464",822
30,823
19,829
97,830
300,833
75,834
12,837
417,838
485,839
388,840
307,846
"2,994",850
384,853
822,854
859,855
264,857
221,859
215,861
118,862
75,865
272,871
"1,052",872
289,873
"1,699",877
1,881
105,882
14,894
19,896
"1,233",898
714,899
41,902
35,903
72,906
64,916
96,917
72,921
335,922
151,930
195,934
507,936
16,937
53,938
96,940
125,943
27,946
80,956
"1,390",966
685,968
214,970
528,972
255,973
189,974
81,982
358,994
535,997
328,999
201,1000
256,1001
243,1003
126,1004
"3,121",1013
60,1014
11,1017
288,1019
36,1026
141,1028
101,1030
117,1032
86,1033
228,1034
751,1037
271,1038
254,1039
225,1040
49,1041
107,1042
31,1043
74,1045
144,1046
8,1047
73,1048
72,1051
28,1058
232,1059
27,1060
"2,182",1062
581,1063
1,1064
974,1065
13,1066
116,1076
146,1077
312,1079
429,1080
102,1081
212,1082
246,1083
252,1084
48,1087
167,1088
68,1090
75,1091
99,1093
25,1094
73,1095
230,1096
166,1097
123,1098
339,1099
148,1100
60,1101
193,1105
589,1106
555,1107
315,1108
433,1109
597,1110
90,1111
"1,420",1112
398,1113
"1,199",1114
537,1115
86,1116
99,1117
571,1118
"1,830",1119
567,1120
223,1122
"1,045",1124
692,1127
354,1129
168,1132
919,1134
491,1135
143,1136
187,1137
96,1139
89,1140
51,1142
100,1143
63,1151
96,1152
69,1153
24,1157
147,1158
34,1159
76,1161
"1,695",1163
219,1164
61,1165
3,1169
850,1171
"1,091",1172
48,1175
9,1177
104,1179
10,1181
17,1182
997,1185
"1,995",1186
"1,141",1187
35,1188
4,1189
7,1190
441,1191
334,1192
"1,300",1193
501,1194
236,1195
"1,236",1196
116,1197
446,1198
255,1199
536,1200
94,1201
370,1204
935,1207
804,1211
47,1212
291,1216
205,1218
434,1219
343,1220
"3,192",1221
226,1226
243,1227
908,1228
40,1231
5,1232
187,1233
266,1234
26,1235
145,1236
2,1243
38,1246
351,1247
9,1248
"3,930",1250
145,1253
58,1254
"2,031",1257
720,1258
42,1269
40,1270
"1,560",1277
"1,161",1278
265,1282
99,1283
15,1288
41,1289
26,1292
72,1296
500,1297
934,1298
654,1299
161,1300
683,1301
"1,593",1302
"15,155",1303
969,1304
297,1305
22,1310
227,1316
230,1317
653,1318
262,1320
334,1321
104,1322
115,1323
39,1324
176,1325
54,1326
576,1332
121,1337
246,1339
"5,666",1344
600,1348
"1,949",1354
13,1355
143,1373
267,1374
580,1375
275,1377
100,1381
37,1385
81,1387
473,1388
343,1390
107,1392
60,1394
"3,258",1395
216,1396
183,1397
55,1398
53,1400
267,1402
239,1403
181,1404
141,1407
23,1408
67,1415
10,1416
126,1417
74,1418
766,1419
4,1423
114,1424
"1,199",1425
962,1427
328,1428
"6,646",1434
299,1436
201,1437
