Sum of Stock,Product ID
"3,891",26
1,36
417,55
2,112
458,166
19,182
12,199
347,208
6,234
125,251
225,258
15,259
31,281
77,295
5,307
8,458
38,463
138,506
18,510
"2,618",569
24,584
32,593
43,609
82,610
212,615
"4,035",622
202,658
61,667
170,673
129,676
8,695
96,703
892,709
28,742
"4,217",756
"3,129",782
18,807
"3,870",813
1,822
18,823
572,830
285,833
357,834
39,837
149,845
338,846
331,847
79,850
104,854
94,855
60,859
15,862
36,871
32,881
748,884
484,919
44,921
2,922
143,937
1,946
640,966
2,968
98,972
115,999
220,1000
251,1001
411,1014
"1,200",1037
698,1038
409,1039
494,1040
35,1042
57,1043
109,1045
91,1046
11,1048
136,1051
16,1077
160,1079
80,1080
25,1081
67,1082
451,1083
73,1084
29,1087
62,1088
49,1090
14,1091
19,1093
30,1094
201,1095
18,1096
54,1097
74,1098
378,1099
285,1100
36,1101
39,1109
17,1116
27,1119
"1,146",1120
584,1121
"1,227",1124
54,1125
181,1127
969,1128
"1,107",1143
"8,790",1144
159,1151
630,1152
133,1153
21,1157
54,1158
17,1159
80,1161
265,1163
21,1176
1,1179
"1,395",1183
7,1185
291,1186
13,1211
237,1213
"2,304",1221
341,1224
316,1226
390,1227
816,1228
143,1243
14,1254
151,1257
92,1280
458,1282
58,1284
127,1285
6,1286
1,1289
70,1301
"2,006",1302
"7,436",1303
"18,521",1304
284,1320
64,1321
97,1322
718,1323
715,1324
162,1325
43,1326
"1,256",1348
1,1354
720,1373
286,1374
31,1390
"1,211",1392
75,1394
820,1402
192,1403
24,1404
50,1407
35,1417
52,1418
"1,045",1427
180,1428
81,1430
864,1434
138,1436
43,1437
23,1440
64,1449
84,1450
80,1460
40,1461
50,1462
10,1463
20,1464
130,1465
20,1466
20,1468
30,1469
20,1470
40,1471
40,1472
30,1473
40,1475
20,1476
10,1477
21,1493
12,1494
16,1496
1,1507
381,1519
84,1534
"4,032",1543
60,1546
2,1547
178,1557
396,1558
573,1561
6,1562
209,1563
6,1565
"1,269",1566
9,1568
92,1569
455,1582
10,1583
10,1584
10,1585
10,1586
20,1587
100,1589
71,1598
234,1602
143,1603
57,1606
19,1607
67,1609
2,1611
192,1612
21,1613
10,1614
80,1615
2,1616
95,1620
197,1622
622,1623
488,1624
2,1625
"1,127",1627
